gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,tissue
GSE84465,GSM2243439,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2243nnn/GSM2243439/suppl/GSM2243439_1001000173.G8.csv.gz,Tumor
GSE84465,GSM2243440,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2243nnn/GSM2243440/suppl/GSM2243440_1001000173.D4.csv.gz,Tumor
GSE84465,GSM2243441,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2243nnn/GSM2243441/suppl/GSM2243441_1001000173.B4.csv.gz,Tumor
GSE84465,GSM2243442,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2243nnn/GSM2243442/suppl/GSM2243442_1001000173.A2.csv.gz,Tumor
GSE84465,GSM2243443,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2243nnn/GSM2243443/suppl/GSM2243443_1001000173.E2.csv.gz,Tumor
GSE84465,GSM2243444,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2243nnn/GSM2243444/suppl/GSM2243444_1001000173.F6.csv.gz,Tumor
GSE84465,GSM2243445,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2243nnn/GSM2243445/suppl/GSM2243445_1001000173.B12.csv.gz,Tumor
GSE84465,GSM2243446,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2243nnn/GSM2243446/suppl/GSM2243446_1001000173.D6.csv.gz,Tumor
GSE84465,GSM2243447,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2243nnn/GSM2243447/suppl/GSM2243447_1001000173.H1.csv.gz,Tumor
GSE84465,GSM2243448,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2243nnn/GSM2243448/suppl/GSM2243448_1001000173.E4.csv.gz,Tumor
GSE84465,GSM2243449,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2243nnn/GSM2243449/suppl/GSM2243449_1001000173.B6.csv.gz,Tumor
