gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,tissue,age
GSE109796,GSM2967471,Brain,Mus musculus,NONE,,
GSE109796,GSM2967472,Brain,Mus musculus,NONE,,
GSE109796,GSM2967473,Brain,Mus musculus,NONE,,
GSE109796,GSM2967474,Brain,Mus musculus,NONE,,
GSE109796,GSM2967475,Brain,Mus musculus,NONE,,
GSE109796,GSM2967476,Brain,Mus musculus,NONE,,
GSE109796,GSM2967477,Brain,Mus musculus,NONE,,
GSE109796,GSM2967478,Brain,Mus musculus,NONE,,
GSE109796,GSM2967479,Brain,Mus musculus,NONE,,
GSE109796,GSM2967480,Brain,Mus musculus,NONE,,
GSE109796,GSM2967481,Brain,Mus musculus,NONE,,
GSE109796,GSM2967482,Brain,Mus musculus,NONE,,
GSE109796,GSM2967483,Brain,Mus musculus,NONE,,
GSE109796,GSM2967484,Brain,Mus musculus,NONE,,
GSE109796,GSM2967485,Brain,Mus musculus,NONE,,
GSE109796,GSM2967486,Brain,Mus musculus,NONE,,
GSE109796,GSM2967487,Brain,Mus musculus,NONE,,
GSE109796,GSM2967488,Brain,Mus musculus,NONE,,
GSE109796,GSM2967489,Brain,Mus musculus,NONE,,
GSE109796,GSM2967490,Brain,Mus musculus,NONE,,
GSE109796,GSM2967491,Brain,Mus musculus,NONE,,
GSE109796,GSM2967492,Brain,Mus musculus,NONE,,
GSE109796,GSM2967493,Brain,Mus musculus,NONE,,
GSE109796,GSM2967494,Brain,Mus musculus,NONE,,
GSE109796,GSM2967495,Brain,Mus musculus,NONE,,
GSE109796,GSM2967496,Brain,Mus musculus,NONE,,
GSE109796,GSM2967497,Brain,Mus musculus,NONE,,
GSE109796,GSM2967498,Brain,Mus musculus,NONE,,
GSE109796,GSM2967499,Brain,Mus musculus,NONE,,
GSE109796,GSM2967500,Brain,Mus musculus,NONE,,
GSE109796,GSM2967501,Brain,Mus musculus,NONE,,
GSE109796,GSM2967502,Brain,Mus musculus,NONE,,
GSE109796,GSM2967503,Brain,Mus musculus,NONE,,
GSE109796,GSM2967504,Brain,Mus musculus,NONE,,
GSE109796,GSM2967505,Brain,Mus musculus,NONE,,
GSE109796,GSM2967506,Brain,Mus musculus,NONE,,
GSE109796,GSM2967507,Brain,Mus musculus,NONE,,
GSE109796,GSM2967508,Brain,Mus musculus,NONE,,
GSE109796,GSM2967509,Brain,Mus musculus,NONE,,
GSE109796,GSM2967510,Brain,Mus musculus,NONE,,
GSE109796,GSM2967511,Brain,Mus musculus,NONE,,
GSE109796,GSM2967512,Brain,Mus musculus,NONE,,
GSE109796,GSM2967513,Brain,Mus musculus,NONE,,
GSE109796,GSM2967514,Brain,Mus musculus,NONE,,
GSE109796,GSM2967515,Brain,Mus musculus,NONE,,
GSE109796,GSM2967516,Brain,Mus musculus,NONE,,
GSE109796,GSM2967517,Brain,Mus musculus,NONE,,
GSE109796,GSM2967518,Brain,Mus musculus,NONE,,
GSE109796,GSM2967519,Brain,Mus musculus,NONE,,
GSE109796,GSM2967520,Brain,Mus musculus,NONE,,
GSE109796,GSM2967521,Brain,Mus musculus,NONE,,
GSE109796,GSM2967522,Brain,Mus musculus,NONE,,
GSE109796,GSM2967523,Brain,Mus musculus,NONE,,
GSE109796,GSM2967524,Brain,Mus musculus,NONE,,
GSE109796,GSM2967525,Brain,Mus musculus,NONE,,
GSE109796,GSM2967526,Brain,Mus musculus,NONE,,
GSE109796,GSM2967527,Brain,Mus musculus,NONE,,
GSE109796,GSM2967528,Brain,Mus musculus,NONE,,
GSE109796,GSM2967529,Brain,Mus musculus,NONE,,
GSE109796,GSM2967530,Brain,Mus musculus,NONE,,
GSE109796,GSM2967531,Brain,Mus musculus,NONE,,
GSE109796,GSM2967532,Brain,Mus musculus,NONE,,
GSE109796,GSM2967533,Brain,Mus musculus,NONE,,
GSE109796,GSM2967534,Brain,Mus musculus,NONE,,
GSE109796,GSM2967535,Brain,Mus musculus,NONE,,
GSE109796,GSM2967536,Brain,Mus musculus,NONE,,
