gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,tissue,age
GSE123022,GSM3490847,Microglia,Mus musculus,NONE,Brain,P7
GSE123022,GSM3490848,Microglia,Mus musculus,NONE,Brain,P7
GSE123022,GSM3490849,Microglia,Mus musculus,NONE,Brain,P7
GSE123022,GSM3490850,Microglia,Mus musculus,NONE,Brain,P7
GSE123022,GSM3490851,Microglia,Mus musculus,NONE,Brain,P7
GSE123022,GSM3490852,Microglia,Mus musculus,NONE,Brain,P7
GSE123022,GSM3490853,Microglia,Mus musculus,NONE,Brain,P7
GSE123022,GSM3490854,Microglia,Mus musculus,NONE,Brain,P7
GSE123022,GSM3490855,Microglia,Mus musculus,NONE,Brain,P7
GSE123022,GSM3490856,Microglia,Mus musculus,NONE,Brain,P7
GSE123022,GSM3490857,Microglia,Mus musculus,NONE,Brain,P7
GSE123022,GSM3490858,Microglia,Mus musculus,NONE,Brain,P7
GSE123022,GSM3490859,Microglia,Mus musculus,NONE,Brain,P7
GSE123022,GSM3490860,Microglia,Mus musculus,NONE,Brain,P7
GSE123022,GSM3490861,Microglia,Mus musculus,NONE,Brain,P7
GSE123022,GSM3490862,Microglia,Mus musculus,NONE,Brain,P7
GSE123022,GSM3490863,Microglia,Mus musculus,NONE,Brain,P7
GSE123022,GSM3490864,Microglia,Mus musculus,NONE,Brain,P7
GSE123022,GSM3490865,Microglia,Mus musculus,NONE,Brain,P7
GSE123022,GSM3490866,Microglia,Mus musculus,NONE,Brain,P7
GSE123022,GSM3490867,Microglia,Mus musculus,NONE,Brain,P7
GSE123022,GSM3490868,Microglia,Mus musculus,NONE,Brain,P7
GSE123022,GSM3490869,Microglia,Mus musculus,NONE,Brain,P7
GSE123022,GSM3490870,Microglia,Mus musculus,NONE,Brain,P7
GSE123022,GSM3490871,Microglia,Mus musculus,NONE,Brain,P7
GSE123022,GSM3490872,Microglia,Mus musculus,NONE,Brain,P7
GSE123022,GSM3490873,Microglia,Mus musculus,NONE,Brain,P7
GSE123022,GSM3490874,Microglia,Mus musculus,NONE,Brain,P7
