gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,sample_type
GSE173278,GSM5264672,glioblastoma,Homo sapiens,NONE,tissue
GSE173278,GSM5264673,glioblastoma,Homo sapiens,NONE,tissue
GSE173278,GSM5264674,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264675,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264676,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264677,glioblastoma,Homo sapiens,NONE,tissue
GSE173278,GSM5264678,glioblastoma,Homo sapiens,NONE,tissue
GSE173278,GSM5264679,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264680,glioblastoma,Homo sapiens,NONE,tissue
GSE173278,GSM5264681,glioblastoma,Homo sapiens,NONE,tissue
GSE173278,GSM5264682,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264683,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264684,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264685,glioblastoma,Homo sapiens,NONE,neurosphere line
GSE173278,GSM5264686,glioblastoma,Homo sapiens,NONE,tissue
GSE173278,GSM5264687,glioblastoma,Homo sapiens,NONE,tissue
GSE173278,GSM5264688,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264689,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264690,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264691,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264692,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264693,glioblastoma,Homo sapiens,NONE,neurosphere line
GSE173278,GSM5264694,glioblastoma,Homo sapiens,NONE,tissue
GSE173278,GSM5264695,glioblastoma,Homo sapiens,NONE,tissue
GSE173278,GSM5264696,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264697,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264698,glioblastoma,Homo sapiens,NONE,tissue
GSE173278,GSM5264699,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264700,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264701,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264702,glioblastoma,Homo sapiens,NONE,tissue
GSE173278,GSM5264703,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264704,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264705,glioblastoma,Homo sapiens,NONE,tissue
GSE173278,GSM5264706,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264707,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264708,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264709,glioblastoma,Homo sapiens,NONE,tissue
GSE173278,GSM5264710,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264711,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264712,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264713,glioblastoma,Homo sapiens,NONE,tissue
GSE173278,GSM5264714,glioblastoma,Homo sapiens,NONE,tissue
GSE173278,GSM5264715,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264716,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264717,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264718,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264719,glioblastoma,Homo sapiens,NONE,tissue
GSE173278,GSM5264720,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264721,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264722,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264723,glioblastoma,Homo sapiens,NONE,tissue
GSE173278,GSM5264724,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264725,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264726,glioblastoma,Homo sapiens,NONE,neurosphere line
GSE173278,GSM5264727,glioblastoma,Homo sapiens,NONE,tissue
GSE173278,GSM5264728,glioblastoma,Homo sapiens,NONE,tissue
GSE173278,GSM5264729,glioblastoma,Homo sapiens,NONE,tissue
GSE173278,GSM5264730,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264731,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264732,glioblastoma,Homo sapiens,NONE,neurosphere line
GSE173278,GSM5264733,glioblastoma,Homo sapiens,NONE,tissue
GSE173278,GSM5264734,glioblastoma,Homo sapiens,NONE,tissue
GSE173278,GSM5264735,glioblastoma,Homo sapiens,NONE,tissue
GSE173278,GSM5264736,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264737,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264738,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264739,glioblastoma,Homo sapiens,NONE,tissue
GSE173278,GSM5264740,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264741,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264742,glioblastoma,Homo sapiens,NONE,neurosphere line
GSE173278,GSM5264743,glioblastoma,Homo sapiens,NONE,tissue
GSE173278,GSM5264744,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264745,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264746,glioblastoma,Homo sapiens,NONE,neurosphere line
GSE173278,GSM5264747,glioblastoma,Homo sapiens,NONE,tissue
GSE173278,GSM5264748,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264749,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264750,glioblastoma,Homo sapiens,NONE,neurosphere line
GSE173278,GSM5264751,glioblastoma,Homo sapiens,NONE,tissue
GSE173278,GSM5264752,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264753,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264754,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264755,glioblastoma,Homo sapiens,NONE,tissue
GSE173278,GSM5264756,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264757,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264758,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264759,glioblastoma,Homo sapiens,NONE,tissue
GSE173278,GSM5264760,glioblastoma,Homo sapiens,NONE,tissue
GSE173278,GSM5264761,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264762,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264763,glioblastoma,Homo sapiens,NONE,tissue
GSE173278,GSM5264764,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264765,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264766,glioblastoma,Homo sapiens,NONE,neurosphere line
GSE173278,GSM5264767,glioblastoma,Homo sapiens,NONE,tissue
GSE173278,GSM5264768,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264769,glioblastoma,Homo sapiens,NONE,organoid
GSE173278,GSM5264770,glioblastoma,Homo sapiens,NONE,neurosphere line
